brand;Model;country;price
Liebherr;FKv 4143;;63000
Liebherr;FKv 503;;66000
Liebherr;FKv 5440;;60000
Liebherr;FKv 5443;;48000
Liebherr;FKvesf 1803;;107000
Liebherr;FKvesf 1805;;88500
Liebherr;FKvsl 2610;;67500
Liebherr;FKvsl 2613;;70000
Liebherr;FKvsl 3610;;110500
Liebherr;FKvsl 3613;;95000
Liebherr;FKvsl 4113;;68000
Liebherr;FKvsl 5410;;70000
Liebherr;FKvsl 5413;;87500
Liebherr;FT 3300;;105000
Liebherr;FT 3302;;135500
Liebherr;G 3013;;47000
Liebherr;G 3513;;47000
Liebherr;G 4013;;57000
Liebherr;G 5216;;65000
Liebherr;GCv 4010;;57000
Liebherr;GCv 4060;;59000
Liebherr;GG 4010;;59000
Liebherr;GG 4060;;51000
Liebherr;GG 5210;;61000
Liebherr;GG 5260;;61000
Liebherr;GGPv 1440;;69000
Liebherr;GGPv 1470;;69000
Liebherr;GGPv 1490;;68000
Liebherr;GGPv 6540;;68000
Liebherr;GGPv 6570;;65500
Liebherr;GGPv 6590;;65500
Liebherr;GGU 1500;;69000
Liebherr;GGU 1550;;82000
Liebherr;GGUesf 1405;;82000
Liebherr;GGv 5010;;87000
Liebherr;GGv 5060;;87000
Liebherr;GGv 5810;;83000
Liebherr;GGv 5860;;83000
Liebherr;GKPv 1440;;93000
Liebherr;GKPv 1470;;93000
Liebherr;GKPv 1490;;105000
Liebherr;GKPv 6540;;46000
Liebherr;GKPv 6570;;50000
Liebherr;GKPv 6573;;50000
Liebherr;GKPv 6590;;46000
Liebherr;GKv 4310;;56000
Liebherr;GKv 4360;;60000
Liebherr;GKv 5710;;75000
Liebherr;GKv 5730;;135000
Liebherr;GKv 5760;;155000
Liebherr;GKv 5790;;155000
Liebherr;GKv 6410;;175000
Liebherr;GKv 6460;;150000
Liebherr;GKvesf 4145;;175000
Liebherr;GKvesf 5445;;180000
Liebherr;GN 2613;;210000
Liebherr;GN 2723;;210000
Liebherr;GN 3023;;110000
Liebherr;GN 3113;;110000
Liebherr;GN 3613;;99000
Liebherr;GN 4113;;150000
Liebherr;GNP 2756;;110000
Liebherr;GNP 3056;;370000
Liebherr;GNP 3255;;420000
Liebherr;GNP 3755;;450000
Liebherr;GNP 4355;;195500
Liebherr;GNPes 4355;;224000
Liebherr;GTL 3005;;134500
Liebherr;GTL 3006;;207000
Liebherr;GTL 4905;;46000
Liebherr;GTL 4906;;44000
Liebherr;GTL 6105;;49500
Liebherr;GTL 6106;;53000
Liebherr;ICBN 3324;;59000
Liebherr;ICBS 3224;;114000
Liebherr;ICBS 3324;;43000
Liebherr;ICNS 3324;;45000
Liebherr;ICP 3324;;35750
Liebherr;ICS 3234;;38500
Liebherr;ICS 3334;;38500
Liebherr;ICUS 2924;;39900
Liebherr;ICUS 3324;;39900
Liebherr;K 4220;;59490
Liebherr;LCexv 4010;;37990
Liebherr;LCv 4010;;40990
Liebherr;LGex 3410;;87490
Liebherr;LGPv 1420;;87490
Liebherr;LGPv 6520;;98490
Liebherr;LGPv 8420;;72990
Liebherr;LGT 2325;;84490
Liebherr;LGT 3725;;87490
Liebherr;LGT 4725;;94990
Liebherr;LGUex 1500;;277990
Liebherr;LGv 5010;;326990
Liebherr;LKexv 1800;;374990
Liebherr;LKexv 2600;;164990
Liebherr;LKexv 3600;;205990
Liebherr;LKexv 3910;;244490
Liebherr;LKexv 5400;;46490
Liebherr;LKPv 1420;;52490
Liebherr;LKPv 1423;;46490
Liebherr;LKPv 6520;;96490
Liebherr;LKPv 6523;;104490
Liebherr;LKPv 8420;;100490
Liebherr;LKUexv 1610;;108490
Liebherr;LKUv 1610;;263490
Liebherr;LKUv 1613;;303490
Liebherr;LKv 3910;;350990
Liebherr;LKv 3913;;145490
Liebherr;LKv 5710;;181990
Liebherr;MKUv 1610;;202990
Liebherr;MKUv 1613;;220990
Liebherr;MKv 3910;;66490
Liebherr;MKv 3913;;78990
Liebherr;SBNes 3210;;78490
Liebherr;SBSbs 7353;;90490
Liebherr;SBSes 7165;;71990
Liebherr;SWTNes 3010;;299490
Liebherr;UIG 1323;;404990
