brand;model;country;price
Liebherr;BP 2850;Ãåðìàíèÿ;85000
Liebherr;CBN 4815;Ãåðìàíèÿ;77000
Liebherr;CBNbe 6256;Àâñòðèÿ;320000
Liebherr;CBNbs 4815;;89000
Liebherr;CBNef 4815;;82000
Liebherr;CBNef 5715;;110000
Liebherr;CBNes 6256;;320000
Liebherr;CBNP 4858;;115000
Liebherr;CBNPbe 5156;;133000
Liebherr;CBNPbs 4858;;130000
Liebherr;CBNPes 4858;;125000
Liebherr;CBNPes 4878;;150000
Liebherr;CBNPes 5156;;155000
Liebherr;CBNPes 5167;;199000
Liebherr;CBNPes 5758;;150000
Liebherr;CBNPgb 4855;;130000
Liebherr;CBNPgw 4855;;130000
Liebherr;CMes 502;;66500
Liebherr;CN 4015;;47000
Liebherr;CN 4815;;65000
Liebherr;CN 4313;;36500
Liebherr;CN 4713;;39500
Liebherr;CN 4813;;38500
Liebherr;CN 5715;;93000
Liebherr;CNbe 4313;;38000
Liebherr;CNbe 4015;;52000
Liebherr;CNbs 4015;;62000
Liebherr;CNef 4815;;70000
Liebherr;CNef 4825;;82000
Liebherr;CNef 5715;;100000
Liebherr;CNel 4313;;38500
Liebherr;CNel 4713;;41000
Liebherr;CNel 4813;;39900
Liebherr;CNfb 4313;;40000
Liebherr;CNkw 4313;;40000
Liebherr;CNno 4313;;40000
Liebherr;CNPes 4758;;102000
Liebherr;CNPes 4858;;105000
Liebherr;CNPes 5156;;130000
Liebherr;CNPes 4868;;115000
Liebherr;CNst 4813;;50000
Liebherr;CUag 3311;;37000
Liebherr;CUbe 4015;;45500
Liebherr;CUfr 3311;;37000
Liebherr;CUwb 3311;;37000
Liebherr;ECBN 5066;;377000
Liebherr;ECBN 6156;;428000
Liebherr;ECBN 6256;;460000
Liebherr;EWTdf 1653;;135000
Liebherr;EWTdf 2353;;150000
Liebherr;EWTdf 3553;;180000
Liebherr;EWTgb 1683;;155000
Liebherr;EWTgb 2383;;175000
Liebherr;EWTgb 3583;;210000
Liebherr;EWTgw 1683;;155000
Liebherr;EWTgw 2383;;175000
Liebherr;EWTgw 3583;;210000
Liebherr;Gbe 1213;;20000
Liebherr;GNP 2356;;57500
Liebherr;GNP 2756;;64000
Liebherr;GNP 3255;;66000
Liebherr;GNP 3755;;71500
Liebherr;GNP 4355;;77500
Liebherr;GNP 1956;;51000
Liebherr;GNP 3056;;70000
Liebherr;GNPes 4355;;90000
Liebherr;GP 1376;;22000
Liebherr;ICBN 3324;;88500
Liebherr;ICBN 3376;;107000
Liebherr;ICBN 3386;;138000
Liebherr;ICBP 3266;;112000
Liebherr;ICBS 3224;;68500
Liebherr;ICBS 3324;;71000
Liebherr;ICN 3376;;88000
