brand;model;country;price
Liebherr;ICN 3386;;109000
Liebherr;ICNP 3366;;100000
Liebherr;ICU 3324;;48000
Liebherr;ICUN 3324;;60000
Liebherr;IG 1024;;44000
Liebherr;IG 1624;;50500
Liebherr;IGN 1064;;54000
Liebherr;IGN 1664;;60000
Liebherr;IGS 1624;;47000
Liebherr;IK 1620;;47500
Liebherr;IK 1624;;47500
Liebherr;IK 1960;;64000
Liebherr;IK 1964;;64000
Liebherr;IK 2320;;51000
Liebherr;IK 2360;;67000
Liebherr;IK 2760;;70000
Liebherr;IK 2764;;70000
Liebherr;IK 3520;;65500
Liebherr;IK 3524;;65500
Liebherr;IKB 1920;;70000
Liebherr;IKB 2360;;83000
Liebherr;IKB 2760;;88000
Liebherr;IKB 3520;;83000
Liebherr;IKB 3524;;83000
Liebherr;IKB 3560;;93000
Liebherr;IKB 3564;;93000
Liebherr;IKBP 2364;;83000
Liebherr;IKBP 2764;;88000
Liebherr;IKBP 3560;;105000
Liebherr;IKF 3510;;69000
Liebherr;IKF 3514;;69000
Liebherr;IKP 1660;;61000
Liebherr;IKP 1664;;61000
Liebherr;IKP 2364;;67000
Liebherr;KB 3750;;86500
Liebherr;KB 4310;;76500
Liebherr;KB 4350;;95000
Liebherr;KBbs 4350;;128000
Liebherr;KBef 4310;;84000
Liebherr;KBes 3750;;104000
Liebherr;KBes 4350            ;;115000
Liebherr;KBPgb 4354;;130000
Liebherr;KBPgw 4354;;121000
Liebherr;KPef 4350;;87000
Liebherr;SBNes 4265;;150000
Liebherr;SBS 66I3;;228000
Liebherr;SBS 70I4;;209000
Liebherr;SBS 66I2;;199000
Liebherr;SBS 70I2;;138500
Liebherr;SBSbs 7353;;230000
Liebherr;SBSbs 8673;;252000
Liebherr;SBSes 7165;;297000
Liebherr;SBSes 7353;;220000
Liebherr;SBSes 8473;;252000
Liebherr;SBSes 8486;;350000
Liebherr;SBSes 8663;;226000
Liebherr;SGNPbs 4365;;124000
Liebherr;SIBP 1650;;67000
Liebherr;SICN 3386;;90000
Liebherr;SIGN 2756;;79000
Liebherr;SIGN 3524;;73000
Liebherr;SIGN 3556;;85000
Liebherr;SIGN 3576;;116000
Liebherr;SUIB 1550;;55000
Liebherr;SUIG 1514;;43500
Liebherr;SUIGN 1554;;51000
Liebherr;SWTNes 4265;;199000
Liebherr;Tb 1400;;19000
Liebherr;Tbe 1404;;19000
Liebherr;Tsl 1414;;19000
Liebherr;UIG 1323;;46000
Liebherr;UIK 1510;;48000
Liebherr;UIK 1514;;48000
Liebherr;UIKo 1550;;59000
Liebherr;UIKo 1560;;65000
Liebherr;UIKP 1550;;53000
Liebherr;UIKP 1554;;53000
Liebherr;UWKes 1752;;99000
Liebherr;UWT 1682;;150000
Liebherr;UWTes 1672;;110000
Liebherr;UWTgb 1682;;150000
Liebherr;WKb 1812;;66000
Liebherr;WKb 3212;;81000
Liebherr;WKb 4212;;88000
Liebherr;WKEes 553;;75000
Liebherr;WKEgb 582;;110000
Liebherr;WKEgw 582;;110000
Liebherr;WKes 653;;115000
Liebherr;WKes 4552;;168500
Liebherr;WKt 4552;;127000
Liebherr;WKt 5552;;140500
Liebherr;WKt 6451;;154500
Liebherr;WTb 4212;;106000
Liebherr;WTes 1672;;132500
Liebherr;WTes 5872;;286500
Liebherr;WTes 5972;;252500
Liebherr;WTpes 5972;;252500
Liebherr;ZKes 453;;135000
Liebherr;BG 5040;;102490
Liebherr;BGPv 6520;;188990
Liebherr;BGPv 6570;;202490
Liebherr;BGPv 8420;;225490
Liebherr;BGPv 8470;;245490
Liebherr;BKPv 6520;;168490
Liebherr;BKPv 6570;;181990
Liebherr;BKPv 8470;;236490
Liebherr;BKv 5040;;89990
Liebherr;FKDv 4203;;64490
Liebherr;FKDv 4211;;64490
Liebherr;FKDv 4213;;66490
Liebherr;FKDv 4503;;69990
Liebherr;FKDv 4513;;71990
Liebherr;FKDv 4523;;81990
Liebherr;FKUv 1610;;44990
Liebherr;FKUv 1613;;50990
Liebherr;FKUv 1660;;50490
Liebherr;FKUv 1663;;53990
Liebherr;FKv 503;;53990
Liebherr;FKv 2640;;43490
Liebherr;FKv 2643;;56490
Liebherr;FKv 3640;;47990
Liebherr;FKv 3643;;61490
Liebherr;FKv 4140;;52490
Liebherr;FKv 4143;;60490
Liebherr;FKv 5440;;59490
Liebherr;FKv 5443;;75990
Liebherr;FKvesf 1803;;49990
Liebherr;FKvesf 1805;;42990
Liebherr;FKvsl 2610;;52490
Liebherr;FKvsl 2613;;67990
Liebherr;FKvsl 3610;;58990
Liebherr;FKvsl 3613;;75990
Liebherr;FKvsl 4113;;66490
Liebherr;FKvsl 5410;;72490
Liebherr;FKvsl 5413;;95490
Liebherr;FT 3300;;37990
Liebherr;FT 3302;;40990
Liebherr;G 5216;;87490
Liebherr;GCv 4010;;87490
Liebherr;GCv 4060;;98490
Liebherr;GG 4010;;72990
Liebherr;GG 4060;;84490
Liebherr;GG 5210;;87490
Liebherr;GG 5260;;94990
Liebherr;GGPv 1440;;277990
Liebherr;GGPv 1470;;326990
Liebherr;GGPv 1490;;374990
Liebherr;GGPv 6540;;164990
Liebherr;GGPv 6570;;205990
Liebherr;GGPv 6590;;244490
Liebherr;GGU 1500;;46490
Liebherr;GGU 1550;;52490
Liebherr;GGUesf 1405;;46490
Liebherr;GGv 5010;;96490
Liebherr;GGv 5060;;104490
Liebherr;GGv 5810;;100490
Liebherr;GGv 5860;;108490
Liebherr;GKPv 1440;;263490
Liebherr;GKPv 1470;;303490
Liebherr;GKPv 1490;;350990
Liebherr;GKPv 6540;;145490
Liebherr;GKPv 6570;;181990
Liebherr;GKPv 6573;;202990
Liebherr;GKPv 6590;;220990
Liebherr;GKv 4310;;66490
Liebherr;GKv 4360;;78990
Liebherr;GKv 5710;;78490
Liebherr;GKv 5730;;80990
Liebherr;GKv 5760;;86490
Liebherr;GKv 5790;;92990
Liebherr;GKv 6410;;82990
Liebherr;GKv 6460;;90490
Liebherr;GKvesf 4145;;63990
Liebherr;GKvesf 5445;;71990
Liebherr;GTL 3005;;38990
Liebherr;GTL 3006;;43990
Liebherr;GTL 4905;;53990
Liebherr;GTL 4906;;57490
Liebherr;GTL 6105;;55990
Liebherr;GTL 6106;;59490
Liebherr;FDv 4613;;109490
Liebherr;BCDv 1003;;47990
Liebherr;LCexv 4010;;155990
Liebherr;LCv 4010;;152990
Liebherr;LGPv 1420;;464990
Liebherr;LGPv 6520;;299490
Liebherr;LGPv 8420;;404990
Liebherr;LGT 2325;;108490
Liebherr;LGT 3725;;114490
Liebherr;LGT 4725;;120990
Liebherr;LGUex 1500;;88990
Liebherr;LGv 5010;;155990
Liebherr;LGex 3410;;127490
Liebherr;LKPv 1420;;417490
Liebherr;LKPv 1423;;487490
Liebherr;LKPv 6520;;264490
Liebherr;LKPv 6523;;299490
Liebherr;LKPv 8420;;369490
Liebherr;LKUexv 1610;;82990
Liebherr;LKUv 1610;;79490
Liebherr;LKUv 1613;;88990
Liebherr;LKexv 1800;;69990
Liebherr;LKexv 2600;;76490
Liebherr;LKexv 3600;;85990
Liebherr;LKexv 3910;;114490
Liebherr;LKexv 5400;;98490
Liebherr;LKv 3910;;111490
Liebherr;LKv 3913;;127490
Liebherr;LKv 5710;;129490
Liebherr;MKUv 1610;;104990
Liebherr;MKUv 1613;;114490
Liebherr;MKv 3910;;136990
Liebherr;MKv 3913;;149990
