URL;CATEGORY;TYPEPREFIX;BRAND;MODEL;NAME;BRAND_RUS;NAME_RUS;STORE;WORDSTAT;ID
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gn-4113-comfort-nofrost.html;Холодильники;Холодильник;Liebherr;GN 4113;Морозильник Liebherr GN 4113 Comfort NoFrost GN 4113;Либхер;Морозильник Либхер GN 4113 Comfort NoFrost GN 4113;Снят с производства;;1265
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnes-3076-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNes 3076;Морозильник Liebherr GNes 3076 Premium NoFrost GNes 3076;Либхер;Морозильник Либхер GNes 3076 Premium NoFrost GNes 3076;Снят с производства;4;1264
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-1956-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNP 1956;Морозильник Liebherr GNP 1956 Premium NoFrost GNP 1956;Либхер;Морозильник Либхер GNP 1956 Premium NoFrost GNP 1956;В наличии;;1587
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-2356-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNP 2356;Морозильник Liebherr GNP 2356 Premium NoFrost GNP 2356;Либхер;Морозильник Либхер GNP 2356 Premium NoFrost GNP 2356;В наличии;45;1377
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-2756-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNP 2756;Морозильник Liebherr GNP 2756 Premium NoFrost GNP 2756;Либхер;Морозильник Либхер GNP 2756 Premium NoFrost GNP 2756;В наличии;;1378
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-3056-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNP 3056;Морозильник Liebherr GNP 3056 Premium NoFrost GNP 3056;Либхер;Морозильник Либхер GNP 3056 Premium NoFrost GNP 3056;В наличии;;1477
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-3255-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNP 3255;Морозильник Liebherr GNP 3255 Premium NoFrost GNP 3255;Либхер;Морозильник Либхер GNP 3255 Premium NoFrost GNP 3255;В наличии;65;1544
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-3755-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNP 3755;Морозильник Liebherr GNP 3755 Premium NoFrost GNP 3755;Либхер;Морозильник Либхер GNP 3755 Premium NoFrost GNP 3755;В наличии;;1549
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnp-4355.html;Холодильники;Холодильник;Liebherr;GNP 4355;Морозильник Liebherr GNP 4355 Premium NoFrost GNP 4355;Либхер;Морозильник Либхер GNP 4355 Premium NoFrost GNP 4355;В наличии;;1545
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gnpes-4355-premium-nofrost.html;Холодильники;Холодильник;Liebherr;GNPes 4355;Морозильник Liebherr GNPes 4355 Premium NoFrost GNPes 4355;Либхер;Морозильник Либхер GNPes 4355 Premium NoFrost GNPes 4355;В наличии;;1547
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gp-1213-comfort.html;Холодильники;Холодильник;Liebherr;GP 1213;Морозильник Liebherr GP 1213 Comfort GP 1213;Либхер;Морозильник Либхер GP 1213 Comfort GP 1213;Нет в наличии;;1615
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gp-1376-premium.html;Холодильники;Холодильник;Liebherr;GP 1376;Морозильник Liebherr GP 1376 Premium GP 1376;Либхер;Морозильник Либхер GP 1376 Premium GP 1376;В наличии;;1379
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gp-1476-premium.html;Холодильники;Холодильник;Liebherr;GP 1476;Морозильник Liebherr GP 1476 Premium GP 1476;Либхер;Морозильник Либхер GP 1476 Premium GP 1476;В наличии;;1381
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gp-2033-comfort.html;Холодильники;Холодильник;Liebherr;GP 2033;Морозильник Liebherr GP 2033 Comfort GP 2033;Либхер;Морозильник Либхер GP 2033 Comfort GP 2033;Снят с производства;;1459
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gp-2433-comfort.html;Холодильники;Холодильник;Liebherr;GP 2433;Морозильник Liebherr GP 2433 Comfort GP 2433;Либхер;Морозильник Либхер GP 2433 Comfort GP 2433;Снят с производства;;1457
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gp-2733-comfort.html;Холодильники;Холодильник;Liebherr;GP 2733;Морозильник Liebherr GP 2733 Comfort GP 2733;Либхер;Морозильник Либхер GP 2733 Comfort GP 2733;В наличии;;1458
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gpesf-1476-premium.html;Холодильники;Холодильник;Liebherr;GPesf 1476;Морозильник Liebherr GPesf 1476 Premium GPesf 1476;Либхер;Морозильник Либхер GPesf 1476 Premium GPesf 1476;В наличии;;1382
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gsl-1223-comfort.html;Холодильники;Холодильник;Liebherr;Gsl 1223;Морозильник Liebherr Gsl 1223 Comfort Gsl 1223;Либхер;Морозильник Либхер Gsl 1223 Comfort Gsl 1223;В наличии;;1478
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-gx-823-comfort.html;Холодильники;Холодильник;Liebherr;GX 823;Морозильник Liebherr GX 823 Comfort GX 823;Либхер;Морозильник Либхер GX 823 Comfort GX 823;В наличии;;1380
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-sgn-3063-comfort-nofrost.html;Холодильники;Холодильник;Liebherr;SGN 3063;Морозильник Liebherr SGN 3063 Comfort NoFrost SGN 3063;Либхер;Морозильник Либхер SGN 3063 Comfort NoFrost SGN 3063;Нет в наличии;;1610
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-sgnbs-3011-premium-nofrost.html;Холодильники;Холодильник;Liebherr;SGNbs 3011;Морозильник Liebherr SGNbs 3011 Premium NoFrost SGNbs 3011;Либхер;Морозильник Либхер SGNbs 3011 Premium NoFrost SGNbs 3011;Снят с производства;;1571
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-sgnes-3011-premium-nofrost.html;Холодильники;Холодильник;Liebherr;SGNes 3011;Морозильник Liebherr SGNes 3011 Premium NoFrost SGNes 3011;Либхер;Морозильник Либхер SGNes 3011 Premium NoFrost SGNes 3011;Снят с производства;;1570
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-sgnesf-3063-comfort-nofrost.html;Холодильники;Холодильник;Liebherr;SGNesf 3063;Морозильник Liebherr SGNesf 3063 Comfort NoFrost SGNesf 3063;Либхер;Морозильник Либхер SGNesf 3063 Comfort NoFrost SGNesf 3063;В наличии;;1485
